  0.00000000E+00  0.19000000E+01
  0.99933849E-02  0.18996854E+01
  0.19986770E-01  0.18987418E+01
  0.29980155E-01  0.18971693E+01
  0.39973540E-01  0.18949683E+01
  0.49966925E-01  0.18921394E+01
  0.59960310E-01  0.18886834E+01
  0.69953694E-01  0.18846009E+01
  0.79947079E-01  0.18798931E+01
  0.89940464E-01  0.18745610E+01
  0.99933849E-01  0.18686061E+01
  0.10992723E+00  0.18620298E+01
  0.11992062E+00  0.18548336E+01
  0.12991400E+00  0.18470194E+01
  0.13990739E+00  0.18385890E+01
  0.14990077E+00  0.18295447E+01
  0.15989416E+00  0.18198884E+01
  0.16988754E+00  0.18096228E+01
  0.17988093E+00  0.17987502E+01
  0.18987431E+00  0.17872733E+01
  0.19986770E+00  0.17751950E+01
  0.20986108E+00  0.17625182E+01
  0.21985447E+00  0.17492461E+01
  0.22984785E+00  0.17353818E+01
  0.23984124E+00  0.17209289E+01
  0.24983462E+00  0.17058907E+01
  0.25982801E+00  0.16902711E+01
  0.26982139E+00  0.16740739E+01
  0.27981478E+00  0.16573029E+01
  0.28980816E+00  0.16399624E+01
  0.29980155E+00  0.16220566E+01
  0.30979493E+00  0.16035898E+01
  0.31978832E+00  0.15845666E+01
  0.32978170E+00  0.15649916E+01
  0.33977509E+00  0.15448696E+01
  0.34976847E+00  0.15242056E+01
  0.35976186E+00  0.15030045E+01
  0.36975524E+00  0.14812716E+01
  0.37974863E+00  0.14590121E+01
  0.38974201E+00  0.14362315E+01
  0.39973540E+00  0.14129353E+01
  0.40972878E+00  0.13891293E+01
  0.41972217E+00  0.13648191E+01
  0.42971555E+00  0.13400108E+01
  0.43970894E+00  0.13147103E+01
  0.44970232E+00  0.12889239E+01
  0.45969571E+00  0.12626577E+01
  0.46968909E+00  0.12359181E+01
  0.47968248E+00  0.12087117E+01
  0.48967586E+00  0.11810450E+01
  0.49966925E+00  0.11529248E+01
  0.50966263E+00  0.11243578E+01
  0.51965602E+00  0.10953509E+01
  0.52964940E+00  0.10659112E+01
  0.53964279E+00  0.10360459E+01
  0.54963617E+00  0.10057620E+01
  0.55962956E+00  0.97506685E+00
  0.56962294E+00  0.94396795E+00
  0.57961633E+00  0.91247274E+00
  0.58960971E+00  0.88058880E+00
  0.59960310E+00  0.84832379E+00
  0.60959648E+00  0.81568547E+00
  0.61958987E+00  0.78268167E+00
  0.62958325E+00  0.74932030E+00
  0.63957664E+00  0.71560935E+00
  0.64957002E+00  0.68155690E+00
  0.65956341E+00  0.64717109E+00
  0.66955679E+00  0.61246012E+00
  0.67955018E+00  0.57743229E+00
  0.68954356E+00  0.54209593E+00
  0.69953694E+00  0.50645947E+00
  0.70953033E+00  0.47053139E+00
  0.71952371E+00  0.43432020E+00
